english,japanese
ga,が
gi,ぎ
gu,ぐ
ge,げ
go,ご
za,ざ
ji,じ
zu,ず
ze,ぜ
zo,ぞ
da,だ
ji,ぢ
zu,づ
de,で
do,ど
ba,ば
bi,び
bu,ぶ
be,べ
bo,ぼ
pa,ぱ
pi,ぴ
pu,ぷ
pe,ぺ
po,ぽ
kya,きゃ
kyu,きゅ
kyo,きょ
sha,しゃ
shu,しゅ
sho,しょ
cha,ちゃ
chu,ちゅ
cho,ちょ
nya,にゃ
nyu,にゅ
nyo,にょ
hya,ひゃ
hyu,ひゅ
hyo,ひょ
mya,みゃ
myu,みゅ
myo,みょ
rya,りゃ
ryu,りゅ
ryo,りょ
gya,ぎゃ
gyu,ぎゅ
gyo,ぎょ
ja,じゃ
ju,じゅ
jo,じょ
bya,びゃ
byu,びゅ
byo,びょ
pya,ぴゃ
pyu,ぴゅ
pyo,ぴょ
